sensitive_feature,sensitive_value,target_label,sufficiency_score,sufficiency_category
age_range,20-29,A,0.013775574717524441,A+
age_range,30-39,A,0.008601097178683403,A+
age_range,40-49,A,0.03310415247317544,A
age_range,50-59,A,0.0017756683898004777,A+
age_range,60-inf,A,0.13734556263435993,C
age_range,20-29,B,0.08433232528883461,C
age_range,30-39,B,0.01103658731122703,A+
age_range,40-49,B,0.0275746191663091,A
age_range,50-59,B,0.06934568919400852,B
age_range,60-inf,B,0.0474117380628859,A
age_range,20-29,D,0.025233571484650996,A
age_range,30-39,D,0.026899274796637673,A
age_range,40-49,D,0.006390473735663815,A+
age_range,50-59,D,0.0006045119464631599,A+
age_range,60-inf,D,0.008364661654135297,A+
age_range,20-29,C,0.016910641684772076,A+
age_range,30-39,C,0.00816133658805318,A+
age_range,40-49,C,0.028165202586175275,A
age_range,50-59,C,0.03312871087853475,A
age_range,60-inf,C,0.058241322515707905,B
gender,M | F,A,0.03154182329566568,A
gender,M | F,B,0.0337552637012658,A
gender,M | F,D,0.0020517450091301903,A+
gender,M | F,C,0.0006951255747580376,A+
