sensitive_feature,sensitive_value,target_label,independence_score,independence_category
gender,M | F,A,0.09753737624627651,C
gender,M | F,B,0.051648992307120944,B
gender,M | F,D,0.02041433242699406,A
gender,M | F,C,0.025474051512161477,A
rango_edad,20,A,0.09213491201067653,C
rango_edad,30,A,0.05612211641549675,B
rango_edad,40,A,0.08692764859538968,C
rango_edad,50,A,0.1151426962951693,C
rango_edad,60,A,0.09041569967280938,C
rango_edad,20,B,0.05366540746645712,B
rango_edad,30,B,0.019559039613704754,A+
rango_edad,40,B,0.02064568847212811,A
rango_edad,50,B,0.032937555016884584,A
rango_edad,60,B,0.04302590460454647,A
rango_edad,20,D,0.05883436594837693,B
rango_edad,30,D,0.025784464439831484,A
rango_edad,40,D,0.07461846184144205,B
rango_edad,50,D,0.07506980917757267,B
rango_edad,60,D,0.012325732581101118,A+
rango_edad,20,C,0.02036486140415747,A
rango_edad,30,C,0.04989669158937002,A
rango_edad,40,C,0.008336501718180483,A+
rango_edad,50,C,0.007135332100712072,A+
rango_edad,60,C,0.03506406248716176,A
